k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
11,62029,461824,1,0,0,0,0,0
11,62030,461824,1,1,1,0,0,0
11,62602,466088,0,1,0,0,0,0
11,64451,479853,1,1,1,0,0,0
11,66665,496335,1,1,1,0,0,0
11,67861,505247,1,1,1,0,0,0
11,67862,505247,1,1,1,0,0,0
11,70345,523739,1,1,1,0,0,0
11,70346,523739,1,1,1,0,0,0
11,75438,561660,1,1,1,0,0,0
11,75439,561660,1,1,1,0,0,0
11,76105,566618,1,1,1,0,0,0
11,78318,583100,0,1,0,0,0,0
11,81405,606081,0,1,0,0,0,0
11,81834,609279,1,0,0,0,0,0
11,81835,609279,1,1,1,0,0,0
11,84276,627455,1,1,1,0,0,0
11,84618,630000,1,1,1,0,0,0
11,86426,643467,0,1,0,0,0,0
11,86427,643467,1,1,1,0,0,0
11,86447,643625,1,1,1,0,0,0
11,86448,643625,1,1,1,0,0,0
11,88361,657874,0,1,0,0,0,0
11,91187,678911,1,1,1,0,0,0
11,94535,703835,0,1,0,0,0,0
11,99818,743175,1,1,1,0,0,0
11,99819,743175,1,1,1,0,0,0
11,110889,825600,0,1,0,0,0,0
11,113364,844025,1,1,1,0,0,0
11,178710,1330550,1,1,1,0,0,0
11,182145,1356124,1,1,1,0,0,0
11,201494,1500183,1,1,1,0,0,0
11,213663,1590784,0,1,0,0,0,0
11,215468,1604224,1,1,1,0,0,0
11,238926,1778880,1,1,1,0,0,0
11,238927,1778880,1,1,1,0,0,0
11,245359,1826768,0,1,0,0,0,0
11,281388,2095015,1,1,1,0,0,0
11,355375,2645880,1,1,1,0,0,0
11,355376,2645880,1,1,1,0,0,0
11,418026,3112329,1,1,1,0,0,0
11,443417,3301375,0,1,0,0,0,0
11,495572,3689685,1,1,1,0,0,0
11,604398,4499928,1,1,1,0,0,0
11,957457,7128575,1,1,1,0,0,0
11,957458,7128575,1,0,0,0,0,0
11,961583,7159295,1,1,1,0,0,0
11,1120925,8345639,1,1,1,0,0,0
11,1493578,11120165,1,1,1,0,0,0
11,1563369,11639776,1,1,1,0,0,0
11,2074044,15441920,1,1,1,0,0,0
11,2838177,21131135,1,1,1,0,0,0
11,2978867,22178624,0,1,0,0,0,0
11,2978868,22178624,0,1,0,0,0,0
11,5850577,43559424,1,0,0,0,0,0
11,7781238,57933823,1,0,0,0,0,0
11,7781239,57933823,1,0,0,0,0,0
11,11614642,86474751,1,0,0,0,0,0
11,11614643,86474751,1,0,0,0,0,0
11,48005291,357414849,1,1,1,0,0,0
11,186553695,1388952360,1,1,1,0,0,0
11,885775635,6594884972,1,1,1,0,0,0
