# regions: k[3001,6500]xN[2,1e7] + k[16,6500]xN[1e7+1,3e7]; npoints=145762074292 degenerate=34539342 ambig=20
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,ff17,ff18,none
111,26260364,1335592,50758,1623,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,26244863,1350445,52061,1678,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,26078873,1504658,63938,2242,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,26233136,1362913,52552,1782,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,26223256,1372035,53965,1787,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0
116,26211614,1384404,53900,1804,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0
117,26192739,1401662,56099,1859,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,26179829,1414307,56821,2032,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,26146598,1444371,60306,2303,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0
120,26146787,1444684,60532,2190,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0
121,26149063,1443373,60206,2148,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,26091713,1497017,64327,2316,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,26126151,1464565,62976,2287,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,26117677,1473460,63044,2336,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0
125,26093701,1494886,65973,2499,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,26094160,1495405,65650,2391,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0
127,26095014,1496056,64673,2431,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128,26050549,1534833,70471,2819,95,4,1,0,0,0,0,0,0,0,0,0,0,0,0
129,26054593,1532527,69409,2671,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0
130,26057650,1530145,69257,2688,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0
131,26088250,1502734,66749,2512,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0
132,26016592,1568454,72694,2993,110,5,0,0,0,0,0,0,0,0,0,0,0,0,0
133,26004117,1579878,74249,2997,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0
134,26007981,1577125,73550,3032,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0
135,25981496,1602207,75448,3031,110,3,0,0,0,0,0,0,0,0,0,0,0,0,0
136,25973408,1608657,77286,3302,127,2,0,0,0,0,0,0,0,0,0,0,0,0,0
137,25971082,1611843,76901,3280,117,5,0,0,0,0,0,0,0,0,0,0,0,0,0
138,25873833,1699990,85949,3756,163,10,0,0,0,0,0,0,0,0,0,0,0,0,0
139,25943597,1637314,79757,3354,124,4,0,0,0,0,0,0,0,0,0,0,0,0,0
140,25944781,1635776,80428,3460,128,3,0,0,0,0,0,0,0,0,0,0,0,0,0
141,25930974,1649301,81173,3457,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0
142,25918690,1659226,83745,3677,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0
143,25926733,1652857,82555,3591,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0
144,25889932,1687516,84949,3760,156,6,0,0,0,0,0,0,0,0,0,0,0,0,0
145,25873514,1701579,87443,4000,181,3,0,0,0,0,0,0,0,0,0,0,0,0,0
146,25858151,1715730,88933,4143,154,3,0,0,0,0,0,0,0,0,0,0,0,0,0
147,25838047,1732499,92590,4199,184,4,0,0,0,0,0,0,0,0,0,0,0,0,0
148,25843176,1730017,90427,4163,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,25862996,1712825,88247,4077,163,6,2,0,0,0,0,0,0,0,0,0,0,0,0
150,25823582,1747182,93326,4429,184,4,0,0,0,0,0,0,0,0,0,0,0,0,0
151,25813926,1756430,94058,4511,164,7,1,0,0,0,0,0,0,0,0,0,0,0,0
152,25804222,1765177,95355,4549,160,8,0,0,0,0,0,0,0,0,0,0,0,0,0
153,25803802,1765945,95296,4559,214,6,0,0,0,0,0,0,0,0,0,0,0,0,0
154,25780520,1786518,98211,4736,209,10,0,0,0,0,0,0,0,0,0,0,0,0,0
155,25773222,1794386,97951,4806,194,5,2,0,0,0,0,0,0,0,0,0,0,0,0
156,25701357,1858690,105244,5397,221,11,0,0,0,0,0,0,0,0,0,0,0,0,0
157,25735090,1827041,103517,5376,236,14,1,0,0,0,0,0,0,0,0,0,0,0,0
158,25756766,1808975,100686,4977,199,5,0,0,0,0,0,0,0,0,0,0,0,0,0
159,25720677,1841408,104462,5190,217,13,0,0,0,0,0,0,0,0,0,0,0,0,0
160,25734350,1829497,102946,5241,256,6,0,0,0,0,0,0,0,0,0,0,0,0,0
161,25700991,1858999,106947,5451,251,4,0,0,0,0,0,0,0,0,0,0,0,0,0
162,25707154,1853937,106091,5500,267,14,0,0,0,0,0,0,0,0,0,0,0,0,0
163,25635815,1916899,114296,6003,281,15,0,0,0,0,0,0,0,0,0,0,0,0,0
164,25660237,1895465,111754,5901,261,13,1,0,0,0,0,0,0,0,0,0,0,0,0
165,25652546,1902828,112268,6046,241,14,0,0,0,0,0,0,0,0,0,0,0,0,0
166,25674147,1884361,109882,5604,260,15,0,0,0,0,0,0,0,0,0,0,0,0,0
167,25670901,1885814,111547,5982,303,11,0,0,0,0,0,0,0,0,0,0,0,0,0
168,25621306,1930652,116286,6319,288,15,0,0,0,0,0,0,0,0,0,0,0,0,0
169,25637970,1916712,114124,6101,280,12,0,0,0,0,0,0,0,0,0,0,0,0,0
170,25594572,1953991,119739,6786,354,29,0,0,0,0,0,0,0,0,0,0,0,0,0
171,25615710,1936016,117341,6388,325,13,0,0,0,0,0,0,0,0,0,0,0,0,0
172,25579146,1968793,121140,6650,310,16,0,0,0,0,0,0,0,0,0,0,0,0,0
173,25592938,1957246,119431,6423,300,22,1,0,0,0,0,0,0,0,0,0,0,0,0
174,25507154,2029968,131329,7742,445,24,0,0,0,0,0,0,0,0,0,0,0,0,0
175,25567735,1979073,122769,6962,380,22,0,0,0,0,0,0,0,0,0,0,0,0,0
176,25557083,1988617,124150,6987,362,19,0,0,0,0,0,0,0,0,0,0,0,0,0
177,25529954,2011348,128302,7454,397,22,2,0,0,0,0,0,0,0,0,0,0,0,0
178,25543411,2000855,126064,7031,382,21,0,0,0,0,0,0,0,0,0,0,0,0,0
179,25537799,2004093,128120,7620,386,19,2,0,0,0,0,0,0,0,0,0,0,0,0
180,25497624,2040411,132235,7637,397,17,0,0,0,0,0,0,0,0,0,0,0,0,0
181,25471452,2065754,133163,7766,395,22,0,0,0,0,0,0,0,0,0,0,0,0,0
182,25514358,2026113,130465,7481,379,15,0,0,0,0,0,0,0,0,0,0,0,0,0
183,25469311,2064475,136620,8166,490,27,3,0,0,0,0,0,0,0,0,0,0,0,0
184,25490552,2047726,132900,7760,412,12,1,0,0,0,0,0,0,0,0,0,0,0,0
185,25495667,2043344,132340,7815,413,24,0,0,0,0,0,0,0,0,0,0,0,0,0
186,25461185,2072731,137300,8132,469,38,2,0,0,0,0,0,0,0,0,0,0,0,0
187,25451359,2082118,137857,8262,450,27,3,0,0,0,0,0,0,0,0,0,0,0,0
188,25399775,2127213,144109,8791,448,19,2,0,0,0,0,0,0,0,0,0,0,0,0
189,25419715,2109544,142062,8763,481,22,2,0,0,0,0,0,0,0,0,0,0,0,0
190,25424829,2106345,140665,8518,462,25,0,0,0,0,0,0,0,0,0,0,0,0,0
191,25411540,2116669,143504,8754,555,20,0,0,0,0,0,0,0,0,0,0,0,0,0
192,25467432,2062036,142219,9007,549,36,3,0,0,0,0,0,0,0,0,0,0,0,0
193,25406350,2122158,143788,8724,488,31,0,0,0,0,0,0,0,0,0,0,0,0,0
194,25390208,2135716,146328,8986,495,33,3,0,0,0,0,0,0,0,0,0,0,0,0
195,25365168,2158773,148448,9088,499,26,0,0,0,0,0,0,0,0,0,0,0,0,0
196,25375742,2147761,148520,9615,544,25,1,0,0,0,0,0,0,0,0,0,0,0,0
197,25350054,2169297,152759,9724,563,40,2,0,0,0,0,0,0,0,0,0,0,0,0
198,25360731,2161722,150289,9346,534,29,2,0,0,0,0,0,0,0,0,0,0,0,0
199,25310514,2204820,156929,10019,553,29,0,0,0,0,0,0,0,0,0,0,0,0,0
200,25333676,2184517,154479,9765,621,31,0,0,0,0,0,0,0,0,0,0,0,0,0
201,25335619,2183221,153975,9866,587,32,0,0,0,0,0,0,0,0,0,0,0,0,0
202,25306930,2208054,157852,10051,599,31,2,0,0,0,0,0,0,0,0,0,0,0,0
203,25313765,2202234,157115,9966,602,34,2,0,0,0,0,0,0,0,0,0,0,0,0
204,25307140,2206914,158744,10473,630,29,0,0,0,0,0,0,0,0,0,0,0,0,0
205,25290411,2222497,160066,10536,607,25,1,0,0,0,0,0,0,0,0,0,0,0,0
206,25243090,2262907,166383,11228,681,47,4,0,0,0,0,0,0,0,0,0,0,0,0
207,25272873,2238098,162088,10735,686,62,2,1,0,0,0,0,0,0,0,0,0,0,0
208,25248803,2258000,166201,11093,627,36,1,0,0,0,0,0,0,0,0,0,0,0,0
209,25262553,2247170,163618,10859,707,53,1,0,0,0,0,0,0,0,0,0,0,0,0
210,25267013,2244077,162715,10667,645,34,1,0,0,0,0,0,0,0,0,0,0,0,0
211,25230203,2274189,168856,11338,715,36,0,0,0,0,0,0,0,0,0,0,0,0,0
212,25231033,2273338,168682,11629,789,51,2,0,0,0,0,0,0,0,0,0,0,0,0
213,25188663,2310601,173936,11719,750,46,1,0,0,0,0,0,0,0,0,0,0,0,0
214,25210681,2290849,171944,11689,716,39,1,0,0,0,0,0,0,0,0,0,0,0,0
215,25185005,2312927,175409,11935,762,38,1,0,0,0,0,0,0,0,0,0,0,0,0
216,25197312,2303388,173140,11683,728,50,0,0,0,0,0,0,0,0,0,0,0,0,0
217,25159138,2338779,175773,11994,733,38,2,0,0,0,0,0,0,0,0,0,0,0,0
218,25167557,2328987,177162,12096,785,39,3,0,0,0,0,0,0,0,0,0,0,0,0
219,25173389,2322631,177498,12419,822,40,2,0,0,0,0,0,0,0,0,0,0,0,0
220,25132089,2359204,181825,13010,841,52,1,0,0,0,0,0,0,0,0,0,0,0,0
221,25160687,2334580,178471,12599,792,56,5,0,0,0,0,0,0,0,0,0,0,0,0
222,25147297,2344784,181492,12880,837,50,5,0,0,0,0,0,0,0,0,0,0,0,0
223,25120583,2367372,185564,13073,876,67,1,0,0,0,0,0,0,0,0,0,0,0,0
224,25093971,2390107,189025,13616,918,55,3,0,0,0,0,0,0,0,0,0,0,0,0
225,25109108,2376696,187619,13503,895,51,2,0,0,0,0,0,0,0,0,0,0,0,0
226,25103064,2382782,187751,13537,862,34,4,0,0,0,0,0,0,0,0,0,0,0,0
227,25062691,2415519,194776,14149,1010,49,1,0,0,0,0,0,0,0,0,0,0,0,0
228,25110170,2376444,187297,13485,939,60,0,0,0,0,0,0,0,0,0,0,0,0,0
229,25071350,2409551,192576,14093,916,55,0,0,0,0,0,0,0,0,0,0,0,0,0
230,25074211,2407454,191976,14085,931,69,4,0,0,0,0,0,0,0,0,0,0,0,0
231,25023597,2450032,198893,15128,1104,73,11,1,1,0,0,0,0,0,0,0,0,0,0
232,25052014,2427052,194675,14240,976,57,0,0,0,0,0,0,0,0,0,0,0,0,0
233,25021189,2451912,200036,14936,1051,48,2,0,0,0,0,0,0,0,0,0,0,0,0
234,25033326,2442620,197703,14585,1012,67,3,0,0,0,0,0,0,0,0,0,0,0,0
235,24976157,2488452,207928,15813,1094,61,3,3,2,0,0,0,0,0,0,0,0,0,0
236,25021918,2451661,200001,14974,1012,65,0,0,0,0,0,0,0,0,0,0,0,0,0
237,25011887,2460061,201574,15081,1113,69,1,0,0,0,0,0,0,0,0,0,0,0,0
238,24988960,2477843,206487,15573,1043,76,3,0,0,0,0,0,0,0,0,0,0,0,0
239,25000736,2469012,203731,15505,1042,79,4,0,0,0,0,0,0,0,0,0,0,0,0
240,24990345,2478327,205062,15411,1049,71,5,0,0,0,0,0,0,0,0,0,0,0,0
241,24961382,2501597,209908,16226,1206,100,9,0,0,0,0,0,0,0,0,0,0,0,0
242,24939391,2523486,210376,16120,1110,70,5,0,0,0,0,0,0,0,0,0,0,0,0
243,24951510,2509312,212095,16416,1260,78,4,0,0,0,0,0,0,0,0,0,0,0,0
244,24938321,2521507,213140,16552,1217,94,8,0,0,0,0,0,0,0,0,0,0,0,0
245,24941031,2520922,211307,16410,1207,88,8,0,0,0,0,0,0,0,0,0,0,0,0
246,24949099,2513145,211290,16337,1165,87,7,0,0,0,0,0,0,0,0,0,0,0,0
247,24926205,2530753,216028,16957,1227,85,8,0,0,0,0,0,0,0,0,0,0,0,0
248,24912327,2543274,217218,17226,1263,101,5,0,0,0,0,0,0,0,0,0,0,0,0
249,24866214,2579566,226047,18286,1366,83,2,0,0,0,0,0,0,0,0,0,0,0,0
250,24903826,2549170,219821,17467,1301,92,5,1,0,0,0,0,0,0,0,0,0,0,0
251,24893223,2558275,221473,17459,1327,94,10,0,0,0,0,0,0,0,0,0,0,0,0
252,24847549,2595773,228434,18699,1383,106,15,4,0,0,0,0,0,0,0,0,0,0,0
253,24834252,2612300,226294,17870,1329,81,2,0,0,0,0,0,0,0,0,0,0,0,0
254,24868761,2579015,225143,17916,1313,94,6,0,0,0,0,0,0,0,0,0,0,0,0
255,24859299,2586885,226533,18188,1352,99,4,0,0,0,0,0,0,0,0,0,0,0,0
256,24855757,2589419,227546,18412,1268,88,4,0,0,0,0,0,0,0,0,0,0,0,0
257,24860212,2586587,225944,18320,1428,107,6,0,0,0,0,0,0,0,0,0,0,0,0
