k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
13,54390,483327,1,0,0,0,0,0
13,56958,506142,1,1,1,0,0,0
13,57332,509472,1,1,1,0,0,0
13,57617,512000,0,1,0,0,0,0
13,58300,518075,1,1,1,0,0,0
13,58868,523124,1,1,1,0,0,0
13,58869,523124,1,1,1,0,0,0
13,61415,545750,1,1,1,0,0,0
13,61823,549375,1,1,1,0,0,0
13,63109,560804,1,1,1,0,0,0
13,65252,579852,1,1,1,0,0,0
13,70004,622080,1,1,1,0,0,0
13,82492,733056,1,1,1,0,0,0
13,84617,751940,1,1,1,0,0,0
13,84618,751940,1,1,1,0,0,0
13,89188,792557,1,1,1,0,0,0
13,102618,911897,1,1,1,0,0,0
13,103869,923012,1,1,1,0,0,0
13,109384,972025,1,1,1,0,0,0
13,110199,979264,1,1,1,0,0,0
13,110924,985710,1,1,1,0,0,0
13,112206,997100,1,1,1,0,0,0
13,114068,1013649,1,1,1,0,0,0
13,114928,1021292,1,1,1,0,0,0
13,120076,1067039,1,1,1,0,0,0
13,132748,1179647,0,1,0,0,0,0
13,134296,1193400,1,1,1,0,0,0
13,140378,1247454,1,1,1,0,0,0
13,148500,1319625,1,1,1,0,0,0
13,155540,1382184,1,0,0,0,0,0
13,157026,1395393,1,1,1,0,0,0
13,159725,1419375,1,1,1,0,0,0
13,163087,1449252,1,1,1,0,0,0
13,171393,1523060,1,1,1,0,0,0
13,171977,1528254,1,1,1,0,0,0
13,171978,1528254,1,1,1,0,0,0
13,174606,1551615,1,1,1,0,0,0
13,182776,1624214,1,1,1,0,0,0
13,187253,1664000,1,1,1,0,0,0
13,188272,1673055,1,0,0,0,0,0
13,206624,1836135,1,1,1,0,0,0
13,210627,1871716,1,1,1,0,0,0
13,210628,1871716,1,1,1,0,0,0
13,219691,1952262,1,1,1,0,0,0
13,219692,1952262,1,1,1,0,0,0
13,222911,1980874,1,1,1,0,0,0
13,224012,1990655,0,1,0,0,0,0
13,230868,2051576,1,1,1,0,0,0
13,238963,2123520,1,1,1,0,0,0
13,238964,2123520,1,1,1,0,0,0
13,243627,2164967,1,1,1,0,0,0
13,245861,2184812,1,0,0,0,0,0
13,247411,2198592,1,1,1,0,0,0
13,247895,2202893,1,1,1,0,0,0
13,252332,2242323,1,1,1,0,0,0
13,252333,2242323,1,1,1,0,0,0
13,281467,2501226,1,1,1,0,0,0
13,281468,2501226,1,1,1,0,0,0
13,286207,2543345,1,1,1,0,0,0
13,290552,2581956,1,1,1,0,0,0
13,302236,2685779,1,1,1,0,0,0
13,308354,2740152,1,1,1,0,0,0
13,310155,2756159,1,1,1,0,0,0
13,310331,2757722,1,1,1,0,0,0
13,312355,2775708,1,1,1,0,0,0
13,325599,2893400,1,0,0,0,0,0
13,339723,3018911,1,1,1,0,0,0
13,343243,3050190,1,1,1,0,0,0
13,364606,3240024,1,1,1,0,0,0
13,365008,3243603,1,1,1,0,0,0
13,385913,3429375,1,1,1,0,0,0
13,388435,3451784,1,1,1,0,0,0
13,407923,3624960,0,1,0,0,0,0
13,410035,3643728,1,1,1,0,0,0
13,432814,3846150,1,1,1,0,0,0
13,433619,3853304,1,1,1,0,0,0
13,447787,3979206,1,1,1,0,0,0
13,474714,4218499,1,1,1,0,0,0
13,474715,4218499,1,1,1,0,0,0
13,485714,4316249,1,1,1,0,0,0
13,509738,4529734,1,1,1,0,0,0
13,509739,4529734,1,1,1,0,0,0
13,518300,4605821,1,0,0,0,0,0
13,518301,4605821,1,0,0,0,0,0
13,526194,4675968,1,1,1,0,0,0
13,552594,4910569,1,1,1,0,0,0
13,568214,5049374,1,1,1,0,0,0
13,575351,5112799,1,1,1,0,0,0
13,575352,5112799,1,1,1,0,0,0
13,588146,5226496,0,1,0,0,0,0
13,588938,5233535,1,1,1,0,0,0
13,597358,5308352,1,1,1,0,0,0
13,604602,5372730,1,1,1,0,0,0
13,740209,6577792,1,1,1,0,0,0
13,751562,6678671,1,1,1,0,0,0
13,797057,7082964,1,1,1,0,0,0
13,804977,7153344,1,1,1,0,0,0
13,814173,7235064,1,1,1,0,0,0
13,830321,7378560,1,1,1,0,0,0
13,846327,7520799,1,1,1,0,0,0
13,863761,7675720,1,1,1,0,0,0
13,867721,7710911,1,1,1,0,0,0
13,943752,8386559,1,1,1,0,0,0
13,943753,8386559,1,1,1,0,0,0
13,944997,8397620,1,1,1,0,0,0
13,1083760,9630720,1,1,1,0,0,0
13,1093440,9716741,1,1,1,0,0,0
13,1146503,10188287,1,1,1,0,0,0
13,1146504,10188287,1,1,1,0,0,0
13,1176855,10457999,1,1,1,0,0,0
13,1192660,10598445,1,1,1,0,0,0
13,1224559,10881920,1,1,1,0,0,0
13,1256811,11168523,1,1,1,0,0,0
13,1297433,11529504,1,1,1,0,0,0
13,1337331,11884054,1,1,1,0,0,0
13,1362542,12108096,1,1,1,0,0,0
13,1362543,12108096,1,1,1,0,0,0
13,1373410,12204674,1,1,1,0,0,0
13,1373411,12204674,1,1,1,0,0,0
13,1419170,12611313,1,1,1,0,0,0
13,1425286,12665663,1,1,1,0,0,0
13,1425287,12665663,1,1,1,0,0,0
13,1535110,13641599,1,1,1,0,0,0
13,1588394,14115100,1,1,1,0,0,0
13,1598909,14208549,1,1,1,0,0,0
13,1598910,14208549,1,1,1,0,0,0
13,1641325,14585472,1,1,1,0,0,0
13,1641326,14585472,1,1,1,0,0,0
13,1661081,14761032,1,1,1,0,0,0
13,1661082,14761032,1,1,1,0,0,0
13,1695181,15064056,1,0,0,0,0,0
13,1704069,15143039,1,1,1,0,0,0
13,1758937,15630615,1,1,1,0,0,0
13,1860488,16533044,1,1,1,0,0,0
13,1860489,16533044,1,1,1,0,0,0
13,1894764,16837632,1,1,1,0,0,0
13,1897316,16860311,1,1,1,0,0,0
13,1982852,17620415,1,1,1,0,0,0
13,2042692,18152175,1,1,1,0,0,0
13,2099275,18655000,1,1,1,0,0,0
13,2198891,19540224,1,1,1,0,0,0
13,2205007,19594574,1,1,1,0,0,0
13,2261635,20097791,1,1,1,0,0,0
13,2477674,22017600,1,1,1,0,0,0
13,2540417,22575167,1,1,1,0,0,0
13,2540418,22575167,1,1,1,0,0,0
13,2551505,22673699,1,1,1,0,0,0
13,2570909,22846130,1,1,1,0,0,0
13,2721609,24185304,1,1,1,0,0,0
